Date,VaR 99%,VaR 95%,VaR 90%
1995-10-02,4.068589582735702,2.5443323754788896,1.8561695292691116
1995-10-03,3.789601058043434,2.367994675827737,1.714989718639426
1995-10-04,4.151286958274835,2.602966340696421,1.8951432254105085
1995-10-05,4.345717559068551,2.7277879492636963,1.9879743711882094
1995-10-06,4.125426031589597,2.5871444021255257,1.883924284386424
1995-10-09,4.96806221975939,3.1238534371636604,2.2808999367879887
1995-10-10,4.618927914242935,2.899788715187752,2.1146728322768937
1995-10-11,4.725701509481446,2.968222533678377,2.1652812920374775
1995-10-12,4.547309324822428,2.871346287498632,2.079078626086354
1995-10-13,4.25211265557474,2.681678189475387,1.9403880960317916
1995-10-16,3.970332692330438,2.521078462048497,1.8061568726135142
1995-10-17,4.788148638294787,3.0421768309789603,2.1866280197532113
1995-10-18,4.580235423215882,2.909674122173534,2.0896727959066324
1995-10-19,4.264959423691345,2.708378520534945,1.9430190173612187
1995-10-20,4.207340322034321,2.671209679490702,1.915744404375492
1995-10-23,3.912158110484388,2.4831267099764225,1.7784976279137694
1995-10-24,3.6458790064710036,2.3131282598975185,1.6544357675367731
1995-10-25,3.7226400466311933,2.3620324610557257,1.7011271124804335
1995-10-26,3.499712076084451,2.18544349226545,1.5862544078714573
1995-10-27,3.61463079673364,2.2579912252644396,1.6398453859768396
1995-10-30,3.8534935628969573,2.408998972095712,1.75081239608524
1995-10-31,3.8031423130072,2.377275342719154,1.7272751978875793
1995-11-01,3.555717136723015,2.2208772579989144,1.6123365133587344
1995-11-02,3.8073141093698704,2.38018820518301,1.7297220410074627
1995-11-03,3.6618697707737753,2.28798538098983,1.661869432867143
1995-11-06,3.538397886814409,2.2101629846365056,1.6045322355189324
1995-11-07,4.310050338864959,2.7368712738363445,1.9704393481719236
1995-11-08,4.017189799646369,2.5491797907849625,1.834095451160064
1995-11-09,4.493287508386191,2.853233916320306,2.053768509144523
1995-11-10,4.208871962112095,2.670582611723691,1.9204307819353312
1995-11-13,4.0016484811832,2.5376009402944457,1.8234584330890196
1995-11-14,4.428923686801805,2.814830842189866,2.044886673239277
1995-11-15,4.118252877628668,2.61474933673251,1.8982545705649374
1995-11-16,3.849833889555922,2.4424551174788682,1.771805316280965
1995-11-17,3.628619826986607,2.300746518859798,1.667595925352676
1995-11-20,4.238621564772156,2.7053499653367914,1.9633507856675405
1995-11-21,3.958226081919671,2.5245721844909697,1.8297055705201903
1995-11-22,3.7878061945397254,2.414532437247644,1.7479684431337428
1995-11-24,3.7689098750754355,2.4024329614217472,1.7392542187067963
1995-11-27,3.5976716211152233,2.292514689104072,1.6578883759083234
1995-11-28,4.819157846859432,3.0694662220332525,2.237170887363849
1995-11-29,4.478471725323066,2.8490277287062877,2.075556600506856
1995-11-30,4.2660519654415,2.71222246778442,1.974669193262492
1995-12-01,4.10705109785185,2.609812171518125,1.8992737473432533
1995-12-04,4.1100236826764585,2.6135590654229928,1.900816436055639
1995-12-05,3.975811205391549,2.523492862973558,1.8370076581186652
1995-12-06,3.7237290560792045,2.3626170108604603,1.7171206043952896
1995-12-07,3.5194313776830723,2.23354762722485,1.6204341364494828
1995-12-08,3.701490756506292,2.349190028276484,1.706833458123657
1995-12-11,3.5090981460989665,2.2264856994958038,1.6155208214669352
1995-12-12,3.6796620033203093,2.3336231743944427,1.6961084200288985
1995-12-13,3.460270496446729,2.19379625127794,1.59235515672177
1995-12-14,4.5725347603888755,2.851333268093879,2.0793422628316334
1995-12-15,4.292827878955684,2.675343948833811,1.9501284702745008
1995-12-18,4.660299859565172,2.9112223097566603,2.1226824443071832
1995-12-19,6.0168801299598895,3.760868640801393,2.75239081523157
1995-12-20,5.777580767750894,3.6105331996888466,2.641002804725412
1995-12-21,5.826123250068396,3.6407833660113083,2.6628979244599336
1995-12-22,5.420434325472201,3.386305262148219,2.4747955726945987
1995-12-26,5.024598457892887,3.1400043596027536,2.2902996541190994
1995-12-27,4.727671385781854,2.9536885875470915,2.1518124690655385
1995-12-28,4.590215180388728,2.8672596765995775,2.0872691910510555
1995-12-29,4.306377133417438,2.6894617250167254,1.9545819490710596
1996-01-02,4.242335398009001,2.648402257971062,1.924143066514531
1996-01-03,4.474042171838155,2.7923572441200686,2.034451224574106
1996-01-04,4.397761837254237,2.744050734057663,1.998076605479029
1996-01-05,4.1008293594972525,2.5580159893341055,1.8592799093939978
1996-01-08,3.8515563000136566,2.4000565206517623,1.7439337214864763
1996-01-09,5.751395831623765,3.57936411099217,2.608547104727843
1996-01-10,5.344571698343506,3.2852127938082476,2.421479699088497
1996-01-11,5.851541416453535,3.60051824677616,2.6583505578822395
1996-01-12,5.463840631089817,3.3597550738199518,2.4779994848638265
1996-01-15,5.852683090715089,3.601157803214008,2.669396169167251
1996-01-16,5.713112398580223,3.52084251270507,2.607331062203432
1996-01-17,5.323328737326888,3.279082958986223,2.430117286031736
1996-01-18,5.129657675566972,3.157041723412807,2.3380946616469895
1996-01-19,5.014679975141304,3.085218384231305,2.2842532858148825
1996-01-22,4.770307772943164,2.9426100138071316,2.1687267687983245
1996-01-23,4.509619850453309,2.77062250980136,2.0382767917598734
1996-01-24,4.717439182575032,2.9009793894042493,2.1355340895086887
1996-01-25,4.662502043991593,2.8662998059191906,2.1092730103161403
1996-01-26,4.407501744357064,2.7062799699827464,1.9901283316153802
1996-01-29,4.134509516243594,2.5342925756102646,1.8616122155178376
1996-01-30,4.020703779780217,2.462849623594854,1.8082122278451762
1996-01-31,3.918125182761016,2.398032291683111,1.7603667639297877
