Date,VaR 99%,VaR 95%,VaR 90%
1990-01-05,3.4886513113803352,2.141527408767864,1.607727852347148
1990-01-06,3.0309452823124254,1.858818964057591,1.3951369121345678
1990-01-08,2.751723235250432,1.6840939925758982,1.264148509380446
1990-01-09,2.41655648737067,1.4838494887043565,1.1085310244992344
1990-01-10,2.406773325478491,1.477110194079093,1.1038956845373824
1990-01-11,2.3747329912436226,1.4578202403352694,1.0889911602320221
1990-01-12,2.1135393840533525,1.2908157606835768,0.9674312929670118
1990-01-13,2.2630474045089173,1.3883518453219963,1.0368905718518961
1990-01-15,2.420987562867807,1.4809812429325855,1.113315855522011
1990-01-16,2.1498301210450723,1.313525908459678,0.9868122323736744
1990-01-17,2.2599878519378658,1.3812173016719347,1.0378880295082427
1990-01-18,2.0232298671218647,1.2347132946207078,0.926184027966796
1990-01-19,2.03285003233519,1.2407638465373658,0.9310638773682756
1990-01-20,1.930153642715546,1.177602323763195,0.8820749548492899
1990-01-22,3.6865236305807065,2.2582598036824297,1.6991860115312243
1990-01-23,3.3579217895893083,2.0559559331526978,1.5454690460359528
1990-01-24,3.313574323919469,2.0307255291208097,1.5253265143100678
1990-01-25,2.8846652978016216,1.7651366714902794,1.325294488831893
1990-01-29,2.742934191754964,1.677485710964365,1.263212296026295
1990-01-30,2.6617949048466576,1.6276969581722416,1.2253131267891602
1990-01-31,2.5221979749294943,1.5470611958313312,1.1593282746563656
1990-02-01,2.592208782325961,1.5882748598016037,1.18946815617279
1990-02-02,2.4999278638103455,1.5264598470535733,1.1432313522409505
1990-02-03,2.262581556766262,1.3796687541639217,1.032313836426647
1990-02-05,2.0473373282166705,1.2469469792143075,0.9326649218322556
1990-02-06,2.181141973268104,1.3291486640855312,0.9951513018023224
1990-02-07,2.136161276700745,1.301199572680974,0.9743553296014492
1990-02-08,1.9423568282508445,1.1816404808033791,0.8857095777826656
1990-02-09,1.8352248147330872,1.1162244330614093,0.8345835463367656
1990-02-10,1.8426316552758648,1.1200828928887532,0.8379758105424294
1990-02-12,1.9047271717718712,1.1576652281907969,0.8667796692873873
1990-02-13,1.7502087878629664,1.062391139132504,0.7949260193809635
1990-02-14,1.7842788986827478,1.083371478579255,0.8108742617838933
1990-02-15,1.6602225462769469,1.0075144859599354,0.753310831267686
1990-02-16,1.576707255868728,0.9566915303359512,0.7146434738121515
1990-02-17,1.6684376989282659,1.0132161994868234,0.7596147375329803
1990-02-19,1.8636665947719238,1.133232047375974,0.8504910851249947
1990-02-20,1.7551562725054417,1.0657836845378221,0.7999330816077781
1990-02-21,1.7065652661628465,1.0354775006449923,0.7772173065962772
1990-02-22,1.595153862423584,0.9670710085983185,0.7253695228975049
1990-02-23,1.5556694102814626,0.9428132573506275,0.7070331119933427
1990-02-24,1.663871241380199,1.0088125214791288,0.7572477754755709
1990-02-26,2.184475714699584,1.3306527911942336,0.9994368586422885
1990-02-27,3.9421629917992713,2.4277683993462857,1.828218284580494
1990-02-28,3.389253718043157,2.081861731991957,1.5666900635338674
1990-03-02,4.091175999759595,2.514976499110875,1.8984383242823815
1990-03-03,3.526708153242869,2.164299613996687,1.6329838538361288
1990-03-05,3.68532826978858,2.2639488944704174,1.7083061189179145
1990-03-06,3.3324718547844863,2.0457805053170044,1.5424007641959752
1990-03-07,3.1833774717955814,1.9535056693206203,1.4718178152930828
1990-03-08,2.7629440306930744,1.693588802024826,1.2739083908923199
1990-03-09,2.4968768182716605,1.5285795430912634,1.148857236129272
1990-03-12,2.2292980603759576,1.3632381854539593,1.0237466161059807
1990-03-13,2.3419472713112444,1.4324231264140763,1.0789668550548959
1990-03-14,2.141368411115116,1.3084611265590604,0.9848707323626358
1990-03-15,1.9649414736287063,1.1999035733501004,0.9020416383317826
1990-03-16,1.9800678142373591,1.2092565151079004,0.9090757868724489
1990-03-17,2.049265033218978,1.2517090640474662,0.9414294043931716
1990-03-19,1.9294572348791474,1.1793167508503215,0.885121176748447
1990-03-20,2.221748226233124,1.3611773008194197,1.0221398311811087
1990-03-21,1.9937012142167863,1.217485242313319,0.915635300012478
1990-03-22,1.8924182653508912,1.1572402251762086,0.8677790381723739
1990-03-23,1.8261647750148242,1.1180599522555634,0.8380067279669029
1990-03-24,1.7906878093861587,1.0960838709654448,0.8214427938913825
1990-03-26,1.7049299208208828,1.0437102798930689,0.7822689633558454
1990-03-27,1.8341910593359538,1.123285522783833,0.8427023427309451
1990-03-28,2.0858724125384076,1.2789485832497578,0.9651579525884716
1990-03-29,2.013827220642218,1.2348414741512157,0.9312414956235875
1990-03-30,3.3818957807650896,2.0862883461278527,1.5795601499795164
1990-03-31,3.002564031302897,1.8490558730886864,1.3986547072734814
1990-04-02,2.640251184875743,1.6231482384458702,1.2261110124480363
1990-04-03,2.3346505589140287,1.4334041426427508,1.0824667383833242
1990-04-04,2.328498182934106,1.4291958554861297,1.0796767246208536
1990-04-06,2.0977537079772635,1.2864528556544919,0.9720125155708964
1990-04-07,2.541100068034335,1.5626444082433626,1.182321241932022
1990-04-09,2.27259830629279,1.396181212378969,1.0554657550637063
1990-04-10,2.2012003088188026,1.3512566049984462,1.021247016978903
1990-04-11,2.0058904146724506,1.2300721220008763,0.9289355688513048
1990-04-12,2.0595084292515526,1.2624365907438053,0.9535520763629688
1990-04-13,1.9410029438191971,1.1882206774674025,0.8971068736017743
1990-04-14,2.2680023459324894,1.3997483359940959,1.0511402349742076
1990-04-16,3.0617748479892204,1.8952499391353732,1.4268869762515102
1990-04-17,3.843246996084868,2.386746368300196,1.7984222012157212
